name
Kelly McGarry
Kelly Stearne
Kem Ley
Ken Aldred
Ken Barr
Ken Barrie
Ken Black
Ken Broderick
Ken Cameron (trade unionist)
Ken Delo
Ken English
Ken Gorgal
Ken Higgs
Ken Howard
Ken Judge
Ken Meyer
Ken Moore (Canadian football)
Ken Morioka
Ken Orr
Ken Purchase
Ken Ramos
Ken Sailors
Ken Sparkes
Ken Thornett
Ken Waterhouse
Kenne Fant
Kenneth Charles Brown
Kenneth Durham
Kenneth Earl Hurlburt
Kenneth Osterberger
Kenneth Painter
Kenny Easterday
Kenny Kramm
Kenworth Moffett
Kerrie Lester
Kerson Huang
Kevin Collins (baseball)
Kevin Randleman
Kevin Turner (running back)
Khaleda Ekram
Khalid El Bakraoui
Khalid Mahmood Mithu
Khamidbi M. Beshtoev
Khurram Zaki
Khuzaima Qutbuddin
Kim Jae-soon
Kim McGuire
Kim Seong-jip
Kim Sung-min
Kim Williams (songwriter)
Kit West
Kitty Kallen
Kitty Rhoades
Kitty Xu Ting
Kiviaq (lawyer)
Kjell Albin Abrahamson
Klaas Bakker
Klaus Ampler
Klaus Biemann
Klaus Katzur
Klaus Moje
Klaus Siebert
Klaus Traube
Klaus Weber
Koço Kasapoğlu
Koichi Kato
Koichi Sekimoto
Kōji Wada
Kōjō Tanaka
Kollam G. K. Pillai
Kong Bunchhoeun
Kong Jaw-sheng
Konstantin Ozgan
Konstantinos Despotopoulos
Koos van Ellinckhuijzen
Kornél Pajor
Kosit Panpiemras
Kostas Koutsomytis
Kris Travis
Kristian Ealey
Kristiina Elstelä
Kristine Miller
Krzysztof Ptak
Ku Chin-shui
Kumarimuthu
Kunigal Ramanath
Kunio Hatoyama
Kurt Svensson
Kurtis Haiu
Kyaram Sloyan
Kyle Calloway
Kyosen Ōhashi
L. C. Ulmer
La Ferne Price
Labhshankar Thakar
Lachhu Maharaj
Ladislav Totkovič
Lady Caroline Faber
Lakshmi Holmström
Lalmuni Chaubey
Lance Cox
Lance Rautzhan
Larkin Malloy
Larry Bock
Larry Brink
Larry Drake
Larry Pinto de Faria
Lars Gustafsson
Lars Roar Langslet
Lars Skytøen
Lars-Inge Svartenbrandt
Lasse Mårtenson
László Bárczay
László Sárosi
László Versényi
Laura Knaperek
Laura Liu
Laura Troschel
Laurence Higgins
Laurence Lerner
Lauri Kähkönen
LaVon Crosby
LaVoy Finicum
Lawrence D. Cohen (politician)
Lawrence E. Bennett
Lawrence H. Cohn
Lawrence Van Gelder
Laxminarayan Pandey
Lee Abramson
Lee Grant (New Zealand actress)
Lee Ho-cheol
Lee Khoon Choy
Lee Kwang-jong
Lee Pfund
Lee Reherman
Leif Mæhle
Leif Solberg
Leila Alaoui
Leilani Muir
Lela Autio
Leland Bardwell
Len Maddocks
Len Steckler
Lennart Häggroth
Lennie Baker
Lennie Bluett
Lennie Pond
Leo Ehlen
Leo Foley
Leo Proost
Leo Rucka
Leon Charney
Leon Donohue
Léon Francioli
Leon Haywood
Leonard Berkowitz
Leonard Berney
Leonard Boyle (bishop)
Leonard Evans
Leonard Hill (producer)
Leonard I. Garth
Leonard L. Northrup Jr.
Leonard Lee
Leonard Marchand
Leonard Mayaen
Leonard White (producer)
Leonid Zhabotinsky
"Leonidas B. Young, II"
Leonidas Donskis
Léonie Geisendorf
Leonorilda Ochoa
Leopoldo Flores
Leovigildo López Fitoria
Leroy Blunt
Les Belshaw
Les Stocker
Les Tanyuk
Leslie Bassett
Leslie Brown (historian)
Leslie H. Martinson
Leslie Thornton (sculptor)
Lester Menke
Lester Thurow
Lev Zbarsky
Levi Karuhanga
Lewie Steinberg
Lewis Feild
Lewis Fiander
Lewis Merenstein
Leyla Sayar
Li Wanheng
Li Xiuren
Liam Tuohy
Liang Sili
Lidia Biondi
Lies Cosijn
Likas Tarigan
Lilia Cuntapay
Lilian Uchtenhagen
Liliane Wouters
Lilly Dubowitz
Lincoln Myers
Lindsay Tuckett
Lino Toffolo
Linus Maurer
Lisa Gaye
Liu Lianman
Liu Wan-lai
Lizette Parker
Ljubomir Popović
Lloyd Campbell (curler)
"Lloyd R. Leavitt, Jr."
Lloyd Rudolph
Lloyd Shapley
Loh I-Cheng
Lois Duncan
Lois Ramsey
Lois Snowe-Mello
Lois Weisberg
Lola Novaković
Long John Hunter
Lonnie Mack
Lord James Blears
Lord Littlebrook
"Michael Jones, Lord Jones"
Lord Tanamo
Loredana (actress)
Lorenzo Amurri
Lorenzo Piani
Loretta Abbott
Loretto Petrucci
Loris Francesco Capovilla
Lorna Jorgenson Wendt
Lorne Clarke
Lothar Dräger
Lothar Späth
Lou Fontinato
Lou Grasmick
Lou Holland
Lou Pearlman
Louis Gladstone
Louis Herman
Louis Lane
Louis Meyers
Louis Pilot
Louis Smith (musician)
Louis Stewart (guitarist)
Louis van Gasteren
Louis Van Geyt
Louisa Chase
Louise Erickson
Louise Plowright
Louise Rennison
Lovell Coleman
Luc Hoffmann
Lucas Gomes Arcanjo
Lucas Martínez Lara
Luciano Conati
Lucille Dumont
Lucille Stone
Lúcio Lara
Lucjan Avgustini
Lucy Kibaki
Luděk Macela
Luigi Corioni
Luigi Ferrari Bravo
Luis Alberto Machado
Luis Álvaro de Oliveira Ribeiro
Luis Arroyo
Luís Carlos Melo Lopes
Luis Eduardo González
Luis González Seara
Luis Gutiérrez Martín
Luis H. Álvarez
Luis Horacio Gomez González
Luis Ossio
Luis Rodolfo Peñaherrera Bermeo
Luis Salom
Luiz Felipe Lampreia
Luo Yinguo
Lyubka Rondova
M. Brendan Fleming
M. H. Mohamed
M. K. A. D. S. Gunawardana
M. O. Joseph
M. V. Rao
M. A. Mannan (neurologist)
Mac Cocker
Maciej Szymon Cieśla
Mack Rice
Madeleen de Wijkerslooth de Weerdesteyn
Madeleine Lebeau
Madeleine Sherwood
Madhusudan Dhaky
Madison Marye
Maggie Blye
Maggie Macdonald
Magsud Ibrahimbeyov
Mahasweta Devi
Maheswar Baug
Mahim Bora
Mahmadu Alphajor Bah
Mahmut Hekimoğlu
Maikhail Miller
Maja Maranow
Majid al-Shibl
Makandal Daaga
Makhenkesi Stofile
Makiko Futaki
Malcolm Grear
Malcolm M. Lucas
Małgorzata Bartyzel
Malick Sidibé
Maliheh Afnan
Malik Iqbal Mehdi Khan
Malvina Cheek
Malvina Garrone Ronchi Della Rocca
Mamdouh Abdel-Alim
Mame Younousse Dieng
Mamie Rallins
Mandoza
Mangal Bagh
Mangala Moonesinghe
Manimala Devi
Manohar Aich
